# 股票代码列表配置
# 格式: 股票代码|股票名称
# 生成时间: 2026-02-18 16:43:54

688600|皖仪科技
688155|先惠技术
000793|ST华闻
301626|苏州天脉
688691|灿芯股份
605303|园林股份
002650|ST加加
600733|北汽蓝谷
300691|联合光电
600303|曙光股份
600985|淮北矿业
002387|维信诺
600756|浪潮软件
300030|阳普医疗
002634|棒杰股份
600760|中航沈飞
688383|新益昌
300813|泰林生物
605318|法狮龙
300790|宇瞳光学
300588|熙菱信息
300698|万马科技
300650|太龙股份
301198|喜悦智行
600079|ST人福
688173|希荻微
300167|ST迪威迅
301228|实朴检测
301505|苏州规划
300081|恒信东方
300660|江苏雷利
000672|上峰水泥
300421|力星股份
002813|路畅科技
001333|光华股份
603559|ST通脉
301024|霍普股份
600130|*ST波导
603596|伯特利
603023|威帝股份
002360|同德化工
000858|五 粮 液
688120|华海清科
000886|海南高速
300695|兆丰股份
301568|思泰克
000681|视觉中国
301358|湖南裕能
688775|影石创新
300672|国科微
600685|中船防务
600562|国睿科技
300426|华智数媒
000592|平潭发展
603377|ST东时
002320|海峡股份
002679|福建金森
688030|山石网科
000066|中国长城
688061|灿瑞科技
300810|中科海讯
605178|时空科技
688580|伟思医疗
688661|和林微纳
688469|芯联集成-U
002599|盛通股份
300162|雷曼光电
688320|禾川科技
300095|华伍股份
300527|ST应急
603400|华之杰
600165|ST宁科
300173|ST福能
003009|中天火箭
301113|雅艺科技
301348|蓝箭电子
300091|*ST金灵
301418|协昌科技
603389|*ST亚振
600126|杭钢股份
002210|飞马国际
002069|獐子岛
600703|三安光电
603520|司太立
002443|金洲管道
603214|爱婴室
300189|神农种业
300386|飞天诚信
000663|永安林业
002168|*ST惠程
301012|扬电科技
600667|太极实业
300722|新余国科
000045|深纺织Ａ
605151|西上海
603767|中马传动
688372|伟测科技
688720|艾森股份
002724|海洋王
300052|ST中青宝
605055|迎丰股份
000524|岭南控股
600619|海立股份
603006|联明股份
600193|*ST创兴
002382|蓝帆医疗
601965|中国汽研
600580|卧龙电驱
003029|吉大正元
688325|赛微微电
688260|昀冢科技
002990|盛视科技
301318|维海德
301221|光庭信息
002047|*ST宝鹰
603950|长源东谷
688605|先锋精科
600080|金花股份
300201|海伦哲
688566|吉贝尔
603717|天域生物
300546|雄帝科技
300826|测绘股份
300512|中亚股份
600119|长江投资
002767|先锋电子
605005|合兴股份
002587|奥拓电子
688137|近岸蛋白
002265|建设工业
002528|ST英飞拓
688152|麒麟信安
000903|ST云动
002629|仁智股份
301596|瑞迪智驱
600136|ST明诚
603679|华体科技
603303|得邦照明
002899|英派斯
301049|超越科技
002979|雷赛智能
603876|鼎胜新材
000576|甘化科工
300397|天和防务
300175|ST朗源
300847|中船汉光
603085|天成自控
688273|麦澜德
000889|中嘉博创
600539|狮头股份
603915|国茂股份
603390|通达电气
301042|安联锐视
300024|机器人
605599|菜百股份
002348|高乐股份
300604|长川科技
300854|中兰环保
603728|鸣志电器
688378|奥来德
603356|华菱精工
002905|金逸影视
000955|欣龙控股
000768|中航西飞
002975|博杰股份
002591|恒大高新
300338|ST开元
002848|*ST高斯
301202|朗威股份
301059|金三江
600520|三佳科技
600764|中国海防
300037|新宙邦
603106|恒银科技
600128|苏豪弘业
300457|赢合科技
688432|有研硅
000678|襄阳轴承
600038|中直股份
603196|日播时尚
600684|珠江股份
002892|科力尔
301130|西点药业
301515|港通医疗
300437|清水源
002797|第一创业
688045|必易微
688489|三未信安
301302|华如科技
688092|爱科科技
000002|万  科Ａ
601606|长城军工
300249|依米康
300756|金马游乐
603309|维力医疗
300800|力合科技
002976|瑞玛精密
300614|百川畅银
600971|恒源煤电
688484|南芯科技
603350|安乃达
000863|三湘印象
603633|徕木股份
300768|迪普科技
300192|科德教育
002190|成飞集成
603159|上海亚虹
003015|日久光电
001335|信凯科技
603139|康惠股份
603335|迪生力
300411|金盾股份
600592|龙溪股份
600436|片仔癀
603588|高能环境
002633|申科股份
300055|万邦达
300220|金运激光
000670|盈方微
603026|石大胜华
300849|锦盛新材
300731|科创新源
605588|冠石科技
001313|粤海饲料
002999|天禾股份
002992|宝明科技
002076|*ST星光
300227|光韵达
002347|泰尔股份
300876|蒙泰高新
300342|天银机电
300988|津荣天宇
688623|双元科技
000532|华金资本
688033|天宜新材
300852|四会富仕
002042|华孚时尚
300786|国林科技
301108|洁雅股份
300460|ST惠伦
603326|我乐家居
603239|浙江仙通
002858|力盛体育
301399|英特科技
301629|矽电股份
002885|京泉华
600099|林海股份
603017|中衡设计
300845|捷安高科
688686|奥普特
688151|华强科技
605177|东亚药业
300972|万辰集团
002869|金溢科技
603949|雪龙集团
300883|龙利得
300745|欣锐科技
688057|金达莱
000977|浪潮信息
002083|孚日股份
688660|电气风电
003023|彩虹集团
301129|瑞纳智能
688197|首药控股-U
000978|桂林旅游
301173|毓恬冠佳
300200|高盟新材
001256|炜冈科技
300123|亚光科技
301176|逸豪新材
600706|曲江文旅
002403|爱仕达
003028|振邦智能
300184|力源信息
600208|衢州发展
300084|海默科技
000608|*ST阳光
300886|华业香料
600158|中体产业
603677|奇精机械
688262|国芯科技
603091|众鑫股份
300430|诚益通
300893|松原安全
300234|开尔新材
301588|美新科技
600356|恒丰纸业
600178|东安动力
688716|中研股份
600138|中青旅
300599|雄塑科技
600150|中国船舶
301248|杰创智能
001288|运机集团
600203|福日电子
002240|盛新锂能
300429|强力新材
688097|博众精工
300652|雷迪克
600892|*ST大晟
000518|*ST四环
002363|隆基机械
002942|新农股份
688099|晶晨股份
301201|诚达药业
002384|东山精密
688013|天臣医疗
688485|九州一轨
000766|通化金马
301368|丰立智能
688215|瑞晟智能
002059|云南旅游
600568|ST中珠
688757|胜科纳米
605099|共创草坪
001287|中电港
300151|昌红科技
002888|惠威科技
603029|天鹅股份
301369|联动科技
301353|普莱得
002590|万安科技
300022|吉峰科技
002911|佛燃能源
003019|宸展光电
301322|绿通科技
688551|科威尔
300519|新光药业
301186|超达装备
688256|寒武纪-U
002101|广东鸿图
002475|立讯精密
600697|欧亚集团
603888|新华网
000922|佳电股份
301491|汉桑科技
603002|宏昌电子
002420|毅昌科技
300802|矩子科技
002389|航天彩虹
300838|浙江力诺
002527|新时达
002906|华阳集团
603324|盛剑科技
688218|江苏北人
603956|威派格
000572|海马汽车
002414|高德红外
688290|景业智能
300946|恒而达
003043|华亚智能
002968|新大正
688130|晶华微
300992|泰福泵业
600716|凤凰股份
002596|海南瑞泽
301592|六九一二
605118|力鼎光电
001314|亿道信息
003004|*ST声迅
301037|保立佳
002564|天沃科技
301199|迈赫股份
688125|安达智能
688236|春立医疗
001228|永泰运
002696|百洋股份
600515|海南机场
601096|宏盛华源
002677|浙江美大
001202|炬申股份
300308|中际旭创
001216|华瓷股份
688326|经纬恒润-W
003027|同兴科技
605299|舒华体育
000980|众泰汽车
603859|能科科技
002845|同兴达
603190|亚通精工
688162|巨一科技
300489|光智科技
000596|古井贡酒
688071|华依科技
000981|山子高科
002586|ST围海
300333|兆日科技
300717|华信新材
600802|福建水泥
603709|中源家居
603517|ST绝味
001207|联科科技
601212|白银有色
300842|帝科股份
300710|万隆光电
600540|新赛股份
301337|亚华电子
688170|德龙激光
600250|南京商旅
002111|威海广泰
600712|南宁百货
688084|晶品特装
688098|申联生物
603700|宁水集团
600340|华夏幸福
600846|同济科技
603270|金帝股份
601001|晋控煤业
002985|北摩高科
605180|华生科技
002855|捷荣技术
300696|爱乐达
600419|天润乳业
603022|新通联
002717|ST岭南
603810|丰山集团
688198|佰仁医疗
688181|八亿时空
600415|小商品城
002542|中化岩土
300304|云意电气
301167|建研设计
600927|永安期货
600650|锦江在线
600523|贵航股份
002962|五方光电
605577|龙版传媒
301076|新瀚新材
002708|光洋股份
605122|四方新材
300687|赛意信息
002200|*ST交投
300354|东华测试
600012|皖通高速
600382|广东明珠
603189|网达软件
600854|春兰股份
300841|康华生物
688335|复洁科技
301559|中集环科
300550|和仁科技
002185|华天科技
300126|锐奇股份
002107|沃华医药
002378|章源钨业
600665|天地源
605378|野马电池
600775|南京熊猫
300484|蓝海华腾
301365|矩阵股份
301195|北路智控
300086|康芝药业
600313|农发种业
300032|金龙机电
002162|悦心健康
300307|慈星股份
603289|泰瑞机器
000568|泸州老窖
301210|金杨精密
603386|骏亚科技
300994|久祺股份
002362|汉王科技
000856|冀东装备
300680|隆盛科技
600560|金自天正
301087|可孚医疗
601588|北辰实业
300998|宁波方正
300771|智莱科技
002829|星网宇达
301112|信邦智能
002436|兴森科技
000735|罗 牛 山
600143|金发科技
002033|丽江股份
300747|锐科激光
002067|景兴纸业
603890|春秋电子
300816|艾可蓝
300666|江丰电子
300629|新劲刚
603366|日出东方
301103|何氏眼科
002846|英联股份
300501|海顺新材
603615|茶花股份
002553|南方精工
600774|汉商集团
301169|零点有数
600081|东风科技
688543|国科军工
000952|广济药业
300951|博硕科技
600051|宁波联合
002735|王子新材
002981|朝阳科技
601888|中国中免
002213|大为股份
688486|龙迅股份
300013|新宁物流
603936|博敏电子
002849|威星智能
600777|*ST新潮
300793|佳禾智能
300326|ST凯利
600698|湖南天雁
600463|空港股份
603226|菲林格尔
600107|ST尔雅
603895|天永智能
002559|亚威股份
603137|恒尚节能
300965|恒宇信通
600509|天富能源
002873|新天药业
300637|扬帆新材
001366|播恩集团
688729|屹唐股份
300665|飞鹿股份
301246|宏源药业
688148|芳源股份
300661|圣邦股份
301539|宏鑫科技
002806|华锋股份
688307|中润光学
002472|双环传动
002395|双象股份
000911|广农糖业
002627|三峡旅游
001234|泰慕士
688557|兰剑智能
000573|粤宏远Ａ
002921|联诚精密
002775|文科股份
301448|开创电气
301072|中捷精工
002600|领益智造
000697|ST炼石
002228|合兴包装
688053|ST思科瑞
603880|南卫股份
300011|鼎汉技术
600371|万向德农
000628|高新发展
301127|武汉天源
688633|星球石墨
301303|真兰仪表
688449|联芸科技
300922|天秦装备
603203|快克智能
605500|森林包装
300822|贝仕达克
603909|建发合诚
300007|汉威科技
603662|柯力传感
600609|金杯汽车
688039|当虹科技
002682|龙洲股份
000702|正虹科技
605567|春雪食品
002576|通达动力
603008|喜临门
300405|科隆股份
688370|丛麟科技
300741|华宝股份
300675|建科院
600257|大湖股份
600235|民丰特纸
301260|格力博
301065|本立科技
301586|佳力奇
000430|ST张家界
300340|科恒股份
688268|华特气体
002685|华东重机
300082|奥克股份
605058|澳弘电子
301512|智信精密
002632|道明光学
603797|联泰环保
688500|慧辰股份
300669|沪宁股份
300503|昊志机电
002748|世龙实业
603217|元利科技
300275|梅安森
001358|兴欣新材
002725|跃岭股份
300964|本川智能
300247|融捷健康
002789|*ST建艺
300500|启迪设计
002687|乔治白
000838|财信发展
000029|深深房Ａ
688129|东来技术
300789|唐源电气
002530|金财互联
300176|鸿特科技
600933|爱柯迪
300187|永清环保
301053|远信工业
301185|鸥玛软件
000519|中兵红箭
600543|莫高股份
301025|读客文化
300817|双飞集团
002036|联创电子
603611|诺力股份
300129|泰胜风能
688618|三旺通信
002284|亚太股份
603978|深圳新星
600113|浙江东日
002779|中坚科技
688168|安博通
300537|广信材料
002316|亚联发展
300928|华安鑫创
300278|华昌达
003003|天元股份
603360|百傲化学
688450|光格科技
002786|银宝山新
603997|继峰股份
300568|星源材质
300899|*ST凯鑫
300115|长盈精密
002494|华斯股份
300165|ST天瑞
301383|天键股份
300049|福瑞医科
603499|翔港科技
688233|神工股份
300412|迦南科技
688638|誉辰智能
002212|天融信
600182|S佳通
300539|横河精密
601136|首创证券
002106|莱宝高科
002023|海特高新
300536|农尚环境
600579|中化装备
300389|艾比森
300520|科大国创
688049|炬芯科技
000042|中洲控股
301571|国科天成
002691|冀凯股份
688298|东方生物
002122|ST汇洲
000701|厦门信达
301115|联检科技
002463|沪电股份
002486|嘉麟杰
002175|东方智造
002021|中捷资源
300735|光弘科技
603557|ST起步
300203|聚光科技
002602|世纪华通
601127|赛力斯
300931|通用电梯
688496|清越科技
600054|黄山旅游
300608|思特奇
603182|嘉华股份
301075|多瑞医药
301290|东星医疗
603037|凯众股份
600127|金健米业
603788|宁波高发
688981|中芯国际
603595|ST东尼
603808|歌力思
002529|*ST海源
000713|国投丰乐
300730|科创信息
603099|长白山
301298|东利机械
300805|电声股份
688693|锴威特
600620|天宸股份
688255|凯尔达
600785|新华百货
600006|东风股份
688200|华峰测控
301330|熵基科技
688665|四方光电
603111|康尼机电
600506|统一股份
601038|一拖股份
300616|尚品宅配
002822|ST中装
002778|中晟高科
300296|利亚德
600180|瑞茂通
001218|丽臣实业
603168|莎普爱思
688108|赛诺医疗
002439|启明星辰
603395|红四方
603586|金麒麟
688055|龙腾光电
001298|好上好
002031|巨轮智能
000692|惠天热电
688697|纽威数控
301617|博苑股份
000428|华天酒店
301349|信德新材
300256|星星科技
300238|冠昊生物
300884|狄耐克
300240|飞力达
300328|宜安科技
002640|跨境通
002191|劲嘉股份
600284|浦东建设
603136|天目湖
688278|特宝生物
301372|科净源
603968|醋化股份
300447|全信股份
002406|远东传动
301387|光大同创
300929|华骐环保
002714|牧原股份
688391|钜泉科技
000652|泰达股份
300560|中富通
603708|家家悦
001300|三柏硕
605286|同力天启
000691|*ST亚太
300276|三丰智能
002139|拓邦股份
601858|中国科传
603065|宿迁联盛
603500|祥和实业
603711|香飘飘
002402|和而泰
603787|新日股份
000888|峨眉山Ａ
688231|隆达股份
300387|富邦科技
603205|健尔康
600505|西昌电力
603506|南都物业
603336|宏辉果蔬
002164|宁波东力
002877|智能自控
002635|安洁科技
600135|乐凯胶片
603402|陕西旅游
603068|博通集成
603075|热威股份
300961|深水海纳
301395|仁信新材
300177|中海达
001238|浙江正特
603528|多伦科技
301098|金埔园林
003025|思进智能
605016|百龙创园
603015|弘讯科技
301528|多浦乐
000823|超声电子
000632|三木集团
300909|汇创达
000610|西安旅游
300834|星辉环材
300422|博世科
603798|康普顿
688816|C易思
002963|豪尔赛
603585|苏利股份
603355|莱克电气
000415|渤海租赁
300902|国安达
300564|筑博设计
002883|中设股份
001323|慕思股份
002730|电光科技
301106|骏成科技
603066|音飞储存
600479|千金药业
603690|至纯科技
301060|兰卫医学
600967|内蒙一机
002189|中光学
000548|湖南投资
002743|富煌钢构
301297|富乐德
300380|安硕信息
603655|朗博科技
002765|蓝黛科技
000025|特  力Ａ
000595|*ST宝实
600635|大众公用
603119|浙江荣泰
300890|翔丰华
002476|宝莫股份
600872|中炬高新
688270|臻镭科技
688403|汇成股份
300365|恒华科技
300851|交大思诺
605155|西大门
603375|盛景微
002930|宏川智慧
300521|爱司凯
000712|锦龙股份
600072|中船科技
000419|通程控股
002066|瑞泰科技
600354|敦煌种业
600222|太龙药业
600084|中信尼雅
002520|日发精机
301223|中荣股份
002322|理工能科
600793|宜宾纸业
603855|华荣股份
603779|威龙股份
000423|东阿阿胶
001279|强邦新材
300814|中富电路
301121|紫建电子
603180|金牌家居
603359|东珠生态
688103|国力电子
300289|利德曼
600847|万里股份
688696|极米科技
000679|大连友谊
601949|中国出版
300535|达威股份
603385|惠达卫浴
301366|一博科技
301120|新特电气
001229|魅视科技
300414|中光防雷
301107|瑜欣电子
603602|纵横通信
002707|众信旅游
688685|迈信林
603321|梅轮电梯
301338|凯格精机
603160|汇顶科技
301256|华融化学
603656|泰禾智能
603567|珍宝岛
301565|中仑新材
605001|威奥股份
002805|丰元股份
300538|同益股份
300936|中英科技
600241|时代万恒
600753|*ST海钦
002875|安奈儿
301063|海锅股份
001212|中旗新材
000721|西安饮食
300410|正业科技
603201|常润股份
603848|好太太
603276|恒兴新材
300154|瑞凌股份
300112|万讯自控
300960|通业科技
301379|天山电子
688160|步科股份
603488|展鹏科技
601086|国芳集团
000998|隆平高科
000635|英 力 特
301567|贝隆精密
300576|容大感光
002549|凯美特气
688355|明志科技
688701|卓锦股份
301229|纽泰格
688569|铁科轨道
300502|新易盛
301421|波长光电
603538|美诺华
688321|微芯生物
002651|利君股份
605298|必得科技
300598|诚迈科技
600843|上工申贝
300139|晓程科技
688573|信宇人
301603|乔锋智能
301280|珠城科技
688121|卓然股份
603173|福斯达
603768|常青股份
002816|*ST和科
300610|晨化股份
002972|科安达
300554|三超新材
300590|移为通信
300681|英搏尔
301119|正强股份
002802|洪汇新材
002819|东方中科
002248|华东数控
301282|金禄电子
002365|永安药业
603901|永创智能
001387|雪祺电气
688113|联测科技
300622|博士眼镜
603739|蔚蓝生物
688179|阿拉丁
603666|亿嘉和
001205|盛航股份
300571|平治信息
301631|壹连科技
603665|康隆达
603786|科博达
003040|楚天龙
300416|苏试试验
603906|龙蟠科技
605555|德昌股份
603231|索宝蛋白
301083|百胜智能
301209|联合化学
603701|德宏股份
603282|亚光股份
605100|华丰股份
688636|智明达
002747|埃斯顿
688381|帝奥微
300991|创益通
300651|金陵体育
603726|朗迪集团
603418|友升股份
301226|祥明智能
301022|海泰科
301313|凡拓数创
600895|张江高科
300390|天华新能
688237|超卓航科
603040|新坐标
688682|霍莱沃
688611|杭州柯林
688570|天玛智控
688555|退市泽达
688359|三孚新科
688191|智洋创新
688086|退市紫晶
688022|瀚川智能
605388|均瑶健康
605368|蓝天燃气
605179|一鸣食品
603996|退市中新
603963|*ST大药
603933|睿能科技
603725|天安新材
603703|盛洋科技
603669|灵康药业
603603|退市博天
603555|ST贵人
603535|嘉诚国际
603439|三力制药
603388|*ST元成
603369|今世缘
603344|星德胜
603261|*ST立航
603206|嘉环科技
603157|退市拉夏
603133|退市碳元
603121|华培动力
603116|红蜻蜓
603056|德邦股份
603041|美思德
603028|赛福天
603003|退市龙宇
601989|中国重工
601916|浙商银行
601828|美凯龙
601558|退市锐电
601456|国联民生
601299|中国北车
601268|*ST二重
601258|*ST庞大
601169|北京银行
601028|玉龙股份
600991|广汽长丰
600978|*ST宜生
600899|*ST信联
600898|*ST美讯
600896|退市海医
600891|退市秋林
600890|退市中房
600881|亚泰集团
600878|*ST北科
600870|退市厦华
600856|退市中天
600852|*ST中川
600849|上药转换
600842|中西药业
600840|新湖创业
600837|海通证券
600836|*ST易连
600832|东方明珠
600830|香溢融通
600823|*ST世茂
600813|ST鞍一工
600811|*ST东方
600806|退市昆机
600804|退市鹏博
600799|*ST龙科
600789|鲁抗医药
600788|*ST达曼
600786|东方锅炉
600781|退市辅仁
600772|S*ST龙昌
600767|退市运盛
600766|退市园城
600762|S*ST金荔
600752|*ST哈慈
600747|退市大控
600735|ST新华锦
600723|首商股份
600709|ST生态
600705|中航产融
600701|退市工新
600700|*ST数码
600695|退市绿庭
600687|退市刚泰
600680|*ST上普
600677|*ST航通
600676|交运股份
600672|*ST华圣
600670|*ST斯达
600669|*ST鞍成
600659|*ST花雕
600658|电子城
600656|退市博元
600652|退市游久
600647|退市同达
600646|ST国嘉
600634|退市富控
600632|华联商厦
600631|百联股份
600627|上电股份
600626|申达股份
600625|PT水仙
600624|ST复华
600614|退市鹏起
600607|上实医药
600591|*ST上航
600565|ST迪马
600555|退市海创
600553|太行水泥
600532|退市未来
600530|交大昂立
600485|*ST信威
600472|包头铝业
600466|*ST蓝光
600462|退市九有
600432|退市吉恩
600405|动力源
600401|退市海润
600393|ST粤泰
